"filename", "language", "Go", "comment", "blank", "total"
"/home/eric/Documents/zuvents/ticketing-system/routers/events_routers.go", "Go", 15, 0, 4, 19
"/home/eric/Documents/zuvents/ticketing-system/routers/main_router.go", "Go", 1, 0, 1, 2
"/home/eric/Documents/zuvents/ticketing-system/routers/organizer_routers.go", "Go", 15, 0, 4, 19
"/home/eric/Documents/zuvents/ticketing-system/routers/router.go", "Go", 13, 0, 4, 17
"/home/eric/Documents/zuvents/ticketing-system/routers/venue_routes.go", "Go", 15, 0, 4, 19
"Total", "-", 59, 0, 17, 76
