"filename", "language", "Go", "comment", "blank", "total"
"/home/eric/Documents/zuvents/ticketing-system/db/db.go", "Go", 52, 6, 12, 70
"/home/eric/Documents/zuvents/ticketing-system/models/models.go", "Go", -63, 0, -10, -73
"Total", "-", -11, 6, 2, -3
